x-coordinate,Vy
0.0,-0.0040715370297352265
0.001,-0.008143074059470453
0.002,-0.01221461108920568
0.003,-0.016286148118940906
0.004,-0.020357685148676134
0.005,-0.024429222178411363
0.006,-0.02850075920814659
0.007,-0.03257229623788182
0.008,-0.03664383326761705
0.009000000000000001,-0.040715370297352275
0.01,-0.044786907327087504
0.011,-0.04885844435682273
0.012,-0.05292998138655796
0.013000000000000001,-0.05700151841629319
0.014,-0.06107305544602842
0.015,-0.06514459247576364
0.016,-0.06921612950549887
0.017,-0.0732876665352341
0.018000000000000002,-0.07735920356496932
0.019,-0.08143074059470455
0.02,-0.08550227762443978
0.021,-0.08957381465417501
0.022,-0.09364535168391024
0.023,-0.09771688871364546
0.024,-0.10178842574338069
0.025,-0.10585996277311592
0.026000000000000002,-0.10993149980285115
0.027,-0.11400303683258638
0.028,-0.1180745738623216
0.029,-0.12214611089205683
0.03,-0.12621764792179205
0.031,-0.13028918495152728
0.032,-0.1343607219812625
0.033,-0.13843225901099773
0.034,-0.14250379604073296
0.035,-0.1465753330704682
0.036000000000000004,-0.15064687010020342
0.037,-0.15471840712993865
0.038,-0.15878994415967387
0.039,-0.1628614811894091
0.04,-0.16693301821914433
0.041,-0.17100455524887956
0.042,-0.1750760922786148
0.043000000000000003,-0.17914762930835001
0.044,-0.18321916633808524
0.045,-0.18729070336782047
0.046,-0.1913622403975557
0.047,-0.19543377742729093
0.048,-0.19950531445702616
0.049,-0.20357685148676138
0.05,-0.2076483885164966
0.051000000000000004,-0.21171992554623184
0.052000000000000005,-0.21579146257596707
0.053,-0.2198629996057023
0.054,-0.22393453663543753
0.055,-0.22800607366517275
0.056,-0.23207761069490798
0.057,-0.2361491477246432
0.058,-0.24022068475437844
0.059000000000000004,-0.24429222178411367
0.06,-0.2483637588138489
0.061,-0.2524352958435841
0.062,-0.2565068328733193
0.063,-0.26057836990305455
0.064,-0.2646499069327898
0.065,-0.268721443962525
0.066,-0.27279298099226024
0.067,-0.27686451802199546
0.068,-0.2809360550517307
0.069,-0.2850075920814659
0.07,-0.28907912911120115
0.07100000000000001,-0.2931506661409364
0.07200000000000001,-0.2972222031706716
0.073,-0.30129374020040683
0.074,-0.30536527723014206
0.075,-0.3094368142598773
0.076,-0.3135083512896125
0.077,-0.31757988831934775
0.078,-0.321651425349083
0.079,-0.3257229623788182
0.08,-0.32979449940855343
0.081,-0.33386603643828866
0.082,-0.3379375734680239
0.083,-0.3420091104977591
0.084,-0.34608064752749435
0.085,-0.3501521845572296
0.08600000000000001,-0.3542237215869648
0.08700000000000001,-0.35829525861670003
0.088,-0.36236679564643526
0.089,-0.3664383326761705
0.09,-0.3705098697059057
0.091,-0.37458140673564094
0.092,-0.37865294376537617
0.093,-0.3827244807951114
0.094,-0.3867960178248466
0.095,-0.39086755485458186
0.096,-0.3949390918843171
0.097,-0.3990106289140523
0.098,-0.40308216594378754
0.099,-0.40715370297352277
0.1,-0.411225240003258
0.101,-0.4152967770329932
0.10200000000000001,-0.41936831406272845
0.10300000000000001,-0.4234398510924637
0.10400000000000001,-0.4275113881221989
0.105,-0.43158292515193414
0.106,-0.43565446218166937
0.107,-0.4397259992114046
0.108,-0.4437975362411398
0.109,-0.44786907327087505
0.11,-0.4519406103006103
0.111,-0.4560121473303455
0.112,-0.46008368436008074
0.113,-0.46415522138981596
0.114,-0.4682267584195512
0.115,-0.4722982954492864
0.116,-0.47636983247902165
0.117,-0.4804413695087569
0.11800000000000001,-0.4845129065384921
0.11900000000000001,-0.48858444356822733
0.12,-0.49265598059796256
0.121,-0.4967275176276978
0.122,-0.500799054657433
0.123,-0.5048705916871682
0.124,-0.5089421287169034
0.125,-0.5130136657466385
0.126,-0.5170852027763737
0.127,-0.5211567398061089
0.128,-0.525228276835844
0.129,-0.5292998138655792
0.13,-0.5333713508953144
0.131,-0.5374428879250496
0.132,-0.5415144249547847
0.133,-0.5455859619845199
0.134,-0.5496574990142551
0.135,-0.5537290360439903
0.136,-0.5578005730737254
0.137,-0.5618721101034606
0.138,-0.5659436471331958
0.139,-0.570015184162931
0.14,-0.5740867211926661
0.14100000000000001,-0.5781582582224013
0.14200000000000002,-0.5822297952521365
0.14300000000000002,-0.5863013322818716
0.14400000000000002,-0.5903728693116068
0.145,-0.594444406341342
0.146,-0.5985159433710772
0.147,-0.6025874804008123
0.148,-0.6066590174305475
0.149,-0.6107305544602827
0.15,-0.6148020914900179
0.151,-0.618873628519753
0.152,-0.6229451655494882
0.153,12.874954267750512
0.153,12.870882730720776
0.154,12.86681119369104
0.155,12.862739656661304
0.156,12.858668119631568
0.157,12.854596582601832
0.158,12.850525045572097
0.159,12.84645350854236
0.16,12.842381971512625
0.161,12.838310434482889
0.162,12.834238897453153
0.163,12.830167360423417
0.164,12.82609582339368
0.165,12.822024286363945
0.166,12.817952749334209
0.167,12.813881212304473
0.168,12.809809675274737
0.169,12.805738138245001
0.17,12.801666601215265
0.171,12.79759506418553
0.17200000000000001,12.793523527155793
0.17300000000000001,12.789451990126057
0.17400000000000002,12.785380453096321
0.17500000000000002,12.781308916066585
0.176,12.77723737903685
0.177,12.773165842007113
0.178,12.769094304977378
0.179,12.765022767947642
0.18,12.760951230917906
0.181,12.75687969388817
0.182,12.752808156858434
0.183,12.748736619828698
0.184,12.744665082798962
0.185,12.740593545769226
0.186,12.73652200873949
0.187,12.732450471709754
0.188,12.728378934680018
0.189,12.724307397650282
0.19,12.720235860620546
0.191,12.71616432359081
0.192,12.712092786561074
0.193,12.708021249531338
0.194,12.703949712501602
0.195,12.699878175471866
0.196,12.69580663844213
0.197,12.691735101412394
0.198,12.687663564382659
0.199,12.683592027352923
0.2,12.679520490323187
0.201,12.67544895329345
0.202,12.671377416263715
0.203,12.667305879233979
0.20400000000000001,12.663234342204243
0.20500000000000002,12.659162805174507
0.20600000000000002,12.655091268144771
0.20700000000000002,12.651019731115035
0.20800000000000002,12.646948194085299
0.209,12.642876657055563
0.21,12.638805120025827
0.211,12.634733582996091
0.212,12.630662045966355
0.213,12.62659050893662
0.214,12.622518971906883
0.215,12.618447434877147
0.216,12.614375897847411
0.217,12.610304360817675
0.218,12.60623282378794
0.219,12.602161286758204
0.22,12.598089749728468
0.221,12.594018212698732
0.222,12.589946675668996
0.223,12.58587513863926
0.224,12.581803601609524
0.225,12.577732064579788
0.226,12.573660527550052
0.227,12.569588990520316
0.228,12.56551745349058
0.229,12.561445916460844
0.23,12.557374379431108
0.231,12.553302842401372
0.232,12.549231305371636
0.233,12.5451597683419
0.234,12.541088231312164
0.23500000000000001,12.537016694282428
0.23600000000000002,12.532945157252692
0.23700000000000002,12.528873620222956
0.23800000000000002,12.52480208319322
0.23900000000000002,12.520730546163485
0.24,12.516659009133749
0.241,12.512587472104013
0.242,12.508515935074277
0.243,12.50444439804454
0.244,12.500372861014805
0.245,12.496301323985069
0.246,12.492229786955333
0.247,12.488158249925597
0.248,12.484086712895861
0.249,12.480015175866125
0.25,12.47594363883639
0.251,12.471872101806653
0.252,12.467800564776917
0.253,12.463729027747181
0.254,12.459657490717445
0.255,12.45558595368771
0.256,12.451514416657973
0.257,12.447442879628237
0.258,12.443371342598502
0.259,12.439299805568766
0.26,12.43522826853903
0.261,12.431156731509294
0.262,12.427085194479558
0.263,12.423013657449822
0.264,12.418942120420086
0.265,12.41487058339035
0.266,12.410799046360614
0.267,12.406727509330878
0.268,12.402655972301142
0.269,12.398584435271406
0.27,12.39451289824167
0.271,12.390441361211934
0.272,12.386369824182198
0.273,12.382298287152462
0.274,12.378226750122726
0.275,12.37415521309299
0.276,12.370083676063254
0.277,12.366012139033518
0.278,12.361940602003783
0.279,12.357869064974047
0.28,12.35379752794431
0.281,12.349725990914575
0.28200000000000003,12.345654453884839
0.28300000000000003,12.341582916855103
0.28400000000000003,12.337511379825367
0.28500000000000003,12.33343984279563
0.28600000000000003,12.329368305765895
0.28700000000000003,12.325296768736159
0.28800000000000003,12.321225231706423
0.289,12.317153694676687
0.29,12.313082157646951
0.291,12.309010620617215
0.292,12.30493908358748
0.293,12.300867546557743
0.294,12.296796009528007
0.295,12.292724472498271
0.296,12.288652935468535
0.297,12.2845813984388
0.298,12.280509861409064
0.299,12.276438324379328
0.3,12.272366787349592
0.301,12.268295250319856
0.302,12.26422371329012
0.303,12.260152176260384
0.304,12.256080639230648
0.305,12.252009102200912
0.306,12.247937565171176
0.307,12.24386602814144
0.308,12.239794491111704
0.309,12.235722954081968
0.31,12.231651417052232
0.311,12.227579880022496
0.312,12.22350834299276
0.313,12.219436805963024
0.314,12.215365268933288
0.315,12.211293731903552
0.316,12.207222194873816
0.317,12.20315065784408
0.318,12.199079120814345
0.319,12.195007583784609
0.32,12.190936046754873
0.321,12.186864509725137
0.322,12.1827929726954
0.323,12.178721435665665
0.324,12.174649898635929
0.325,12.170578361606193
0.326,12.166506824576457
0.327,12.162435287546721
0.328,12.158363750516985
0.329,12.154292213487249
0.33,12.150220676457513
0.331,12.146149139427777
0.332,12.142077602398041
0.333,12.138006065368305
0.334,12.13393452833857
0.335,12.129862991308833
0.336,12.125791454279097
0.337,12.121719917249361
0.338,12.117648380219626
0.339,12.11357684318989
0.34,12.109505306160154
0.341,12.105433769130418
0.342,12.101362232100682
0.343,12.097290695070946
0.34400000000000003,12.09321915804121
0.34500000000000003,12.089147621011474
0.34600000000000003,12.085076083981738
0.34700000000000003,12.081004546952002
0.34800000000000003,12.076933009922266
0.34900000000000003,12.07286147289253
0.35000000000000003,12.068789935862794
0.35100000000000003,12.064718398833058
0.352,12.060646861803322
0.353,12.056575324773586
